Facility_Name,Hatchery_Program_Name,Hatchery_Program_Type,Species,Run,Life_Stage,Goal,Production_Goal,PNI Year,Integrated_PNI _Rate,Integrated PNI Rate Description,Integrated PNI Goal,Integrated PNI Goal Description,Segrated PHOS Rate ,Segrated PHOS Rate Description,Segrated PHOS Goal ,Segrated PHOS Goal Description,Juvenile Produced,Juvenile To Smolt Survival Percent,Juvenile To Smolt Survival Description,Actual_Adult_Hatchery_Produced,Actual Adult Hatchery Produced Description,AdultReturnsTotal,Adult Returns To Hatchery Broodstock Description,Adult Returns To Hatchery Wild Broodstock Percent,Adult Returns To Hatchery Wild Broodstock Description,Adult Returns To Hatchery Excess,Adult Returns To Hatchery Excess Description,ReturningHatcheryPercent,Adult Where Returning Fish Go Hatchery Description, ReturningHarvestedPercent,Adult Where Returning Fish Go Harvested Description,Adult Where Returning Fish Go Spawning Grounds Percent,Adult Where Returning Fish Go Spawning Grounds Description,Non WA Caught Adult,Non WA Caught Adult Description,Sport_Caught_Adult,Sport Caught Adult Description,Net_Caught_Adult,Net Caught Adult Description,Troll_Caught_Adult,Troll Caught Adult Description,Cost Per Adult,Cost Per Adult Description,County,WRIA,Salmon Recovery Region,Lead Entity,Last Updated
Whatcom Creek Hatchery,Whatcom Creek Pink,SEGREGATED,Pink,Fall,Fry,Harvest,500000,2009,0,N/A,0,N/A,0,,0,,353164,2.09,,7384,,867,,,None,1940,,38,,62,,,unavailable,,unavailable,169,,4408,,,unavailable,,"In progressJLARC data to be released 2015,",Whatcom,NOOKSACK,,,7/22/2015 16:38
Cedar River Hatchery,Cedar River Sockeye,INTEGRATED,Sockeye,,Fry,Harvest,34000000,2009,0.38,,0,Current,0.52,,0,Current,8651856,0.5,,43040,,5276,,,unk,1445,,15.6,,38.5,,45.9,,,unavailable,7419,,9161,,,unavailable,,"In progressJLARC data to be released 2015,",King,CEDAR-SAMMAMISH,Puget Sound,WRIA 8 - King County Lead Entity,7/22/2015 16:38
Baker Lake Hatchery,Baker Lake Sockeye,INTEGRATED,Sockeye,,Fry,Conservation/ Harvest,8340000,2009,0,Unknown,0.67,>0.67,0,unavailable,0.3,<0.30,1042925,,unk,,unk,112,,,93.70%,85,,,unk,,Unk,,unavailable,,unavailable,4226,,8521,,,unavailable,,"In progressJLARC data to be released 2015,",Whatcom,UPPER SKAGIT,Puget Sound,Skagit Watershed Council,7/22/2015 16:38
Lyons Ferry Hatchery,Snake River Chinook,INTEGRATED,Chinook,Fall,Subyearling,Harvest,450000,2009,0.15,,0.67,>0.67,0.82,,0.3,<0.30,505614,1.49,,7511,,,See Subyearling Program,,See Subyearling Program,,See Subyearling Program,51.2,,45.8,,3.1,,1269,,616,,1146,,406,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Eastbank Hatchery,Nason Creek Spring Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,,2009,0,unknown,0.67,>0.67,0,unknown new program,0.3,<0.30,,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,unknown new program,,"In progressJLARC data to be released 2015,",Douglas,MOSES COULEE,Upper Columbia River,Foster Creek Lead Entity,7/22/2015 16:38
Priest Rapids Hatchery,Priest Rapids Up River Bright Chinook,INTEGRATED,Chinook,Fall,Subyearling,Harvest,7299543,2009,0.42,,0.67,>0.67,0.17,,0.3,<0.30,4532170,0.82,,37201,,20240,,,unknown - estimated at 77.7% likely high,15335,,49.7,,43,,7.3,,6632,,2408,,6544,,397,,,"In progressJLARC data to be released 2015,",Grant,ESQUATZEL COULEE,,,7/22/2015 16:38
Forks Creek Hatchery,Forks Creek Hatchery Winter Steehead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,60000,2009,0,NA,0,NA,0.15,,0.1,<0.10,60160,2.2,,1324,,178,,,None,711,,67.1,,32.9,,,unavailable,,unavailable,435,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Naselle Hatchery,Naselle River Hatchery Winter Steehead,SEGREGATED,Steelhead,Winter,Yearling,Harvest,75000,2009,0,NA,0,NA,0.16,,0,Current,25700,0.87,,225,,16,,,None,3,,8,,92,,,unavailable,,unavailable,206,,,unavailable,,unavailable,,"In progressJLARC data to be released 2015,",Pacific,WILLAPA,Washington Coastal,Pacific County Lead Entity,7/22/2015 16:38
Lyons Ferry Hatchery,Snake River Chinook,INTEGRATED,Chinook,Fall,Subyearling,Harvest,200000,2009,0.15,,0.67,>0.67,0.82,,0.3,<0.30,210957,0.42,,895,,4190,,25.47,,2164,,31.7,,64.2,,4.1,,200,,110,,203,,61,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Lyons Ferry Hatchery,Snake River Chinook,INTEGRATED,Chinook,Fall,Yearling,Harvest,200000,2009,0.15,,0.67,>0.67,0.82,,0.3,<0.30,210957,0.42,,895,,4190,,25.47,,2164,,31.7,,64.2,,4.1,,200,,110,,203,,61,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Dryden Pond,Dryden Acclimation Pond Chinook,INTEGRATED,Chinook,Summer,Yearling,Harvest,500000,2009,0.83,,0.67,>0.67,0.2,,0.3,<0.30,644190,0.54,,3477,,415,,96.1,,25,,1.2,,66.5,,32.3,,1225,,452,,538,,97,,,"In progressJLARC data to be released 2015,",Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,7/22/2015 16:38
Chiwawa Hatchery,Chiwawa Spring Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,144000,2009,0.4,,0.67,>0.67,0.7,,0.3,<0.30,348258,0.69,,2412,,215,,42.2,,121,,34.4,,15.5,,50.1,,10,,197,,165,,3,,,"In progressJLARC data to be released 2015,",Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,7/22/2015 16:38
Methow Hatchery,Methow River Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,135000,2009,0.29,,0.67,>0.67,0.81,,0.3,<0.30,219494,0.61,,1341,,287,,33.6,,52,,65.7,,2.3,,32.1,,3,,1,,26,,0,,,"In progressJLARC data to be released 2015,",Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,7/22/2015 16:38
Ringold Springs Hatchery,Ringold Springs Chinook,INTEGRATED,Chinook,Fall,Subyearling,Harvest,3450000,2009,0.42,,0.67,>0.67,0.17,,0.3,<0.30,3044466,0.36,,10831,,4558,,50,,4558,,42.1,,47.9,,10,,2054,,1002,,1993,,142,,,"In progressJLARC data to be released 2015,",Franklin,ESQUATZEL COULEE,,,7/22/2015 16:38
Lyons Ferry Hatchery,Wallowa Summer Steelhead-On Station,SEGREGATED,Steelhead,Summer,Yearling,Harvest,110000,2009,0,N/A,0,N/A,0,unavailable,0.05,<0.05,61241,2.22,,1365,,72,,0,,283,,82.7,,17.3,,,NA,0,,111,,61,,0,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Twisp Acclimation Pond,Twisp River Spring Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,30000,2009,0.48,,0.67,>0.67,0.59,,0.3,<0.30,65526,0.3,,195,,39,,48.7,,7,,40.6,,3.4,,56,,0,,0,,6,,0,,,"In progressJLARC data to be released 2015,",Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,7/22/2015 16:38
Chewuch Acclimation Pond,Chewuch River Chinook,INTEGRATED,Chinook,Spring,Yearling,Conservation,60000,2009,0.33,,0.67,>0.67,0.67,,0.3,<0.30,198097,0.26,,516,,87,,33.6,,,,16.8,,4,,79.2,,2,,0,,19,,0,,,"In progressJLARC data to be released 2015,",Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,9/12/2019 0:00
Carlton Rearing Pond,Carlton Acclimation Ponds Chinook,INTEGRATED,Chinook,Summer,Yearling,Harvest,236000,2009,0.69,,0.67,>0.67,0.42,,0.3,<0.30,4332,,NA,,NA,181,,93.9,,12,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,"In progressJLARC data to be released 2015,",Okanogan,METHOW,Upper Columbia River,Okanogan County Lead Entity,7/22/2015 16:38
Chelan River Net Pen,Chelan Falls Eastbank Outfall,SEGREGATED,Chinook,Summer,Subyearling,Harvest,576000,2009,0,N/A,0,,0,unavailable,0.05,<0.05,852029,0.06,,543,,123,,,?,123,,22.7,,71.6,,5.6,,164,,15,,137,,74,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Turtle Rock Hatchery,Chelan Falls Eastbank Outfall,SEGREGATED,Chinook,Summer,Yearling,Harvest,576000,2009,0,N/A,0,,0,unavailable,0.05,<0.05,327070,1.73,,5657,,641,,,?,641,,11.3,,80.3,,8.4,,2053,,1179,,1127,,185,,,"In progressJLARC data to be released 2015,",Douglas,MOSES COULEE,Upper Columbia River,Foster Creek Lead Entity,7/22/2015 16:38
Wells Hatchery,UCR Mainstem Releases,SEGREGATED,Chinook,Summer,Subyearling,Harvest,484000,2009,0,N/A,0,,0,unavailable,0.05,<0.05,455424,0.29,,1334,,1303,,16,,69,,56.3,,40.1,,3.6,,238,,98,,179,,19,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Wells Hatchery,UCR Mainstem Releases,SEGREGATED,Chinook,Summer,Yearling,Harvest,484000,2009,0,N/A,0,,0,unavailable,0.05,<0.05,455424,0.29,,1334,,1303,,16,,69,,56.3,,40.1,,3.6,,238,,98,,179,,19,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Wells Hatchery,UCR Mainstem Releases,SEGREGATED,Chinook,Summer,Subyearling,Harvest,320000,2009,0,N/A,0,,0,unavailable,0.05,<0.05,328210,1.7,,5576,,,See Subyearling Program,,See Subyearling Program,,See Subyearling Program,48.7,,49.3,,2,,1386,,540,,680,,143,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Lyons Ferry Hatchery,Wallowa Summer Steelhead,SEGREGATED,Steelhead,Summer,Yearling,Harvest,100000,2009,0,N/A,0,N/A,0.03,,0.05,<0.05,100675,1.89,,1914,,66,,0,,260,,68.8,,31.2,,,NA,1,,208,,39,,0,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Lyons Ferry Hatchery,Wallowa Summer Steelhead-Cottonwood Cr,SEGREGATED,Steelhead,Summer,Yearling,Harvest,200000,2009,0,N/A,0,N/A,0,unavailable,0.05,<0.05,176131,2.83,,4939,,1425,,0,,913,,79.4,,20.6,,,NA,1,,378,,255,,0,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Lyons Ferry Hatchery,Wallowa Summer Steelhead-Dayton AP,SEGREGATED,Steelhead,Summer,Yearling,Harvest,85000,2009,0,N/A,0,N/A,0.02,,0.05,<0.05,93528,2.19,,2017,,56,,0,,222,,47.9,,52.1,,,NA,1,,217,,80,,0,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Lyons Ferry Hatchery,Touchet Endemic Summer Steelhead,INTEGRATED,Steelhead,Summer,Yearling,Conservation,50000,2009,0.81,,0.67,>0.67,0.21,,0.3,<0.30,49336,0.64,,347,,0,,100,,126,,0,,0,,100,,0,,0,,0,,0,,,"In progressJLARC data to be released 2015,",Franklin,LOWER SNAKE,Snake River,Snake River Salmon Recovery Board,7/22/2015 16:38
Chiwawa Hatchery,Wenatchee Summer Steelhead - Chiwawa,INTEGRATED,Steelhead,Summer,Yearling,Conservation,,2009,0.48,,0.67,>0.67,0.59,,0.3,<0.30,,,,,,191,,48.6,,44,,,,,,,,,,,,,,,,,"In progressJLARC data to be released 2015,",Chelan,WENATCHEE,Upper Columbia River,Chelan County Lead Entity,7/22/2015 16:38
Wells Hatchery,Twisp Summer Steelhead,INTEGRATED,Steelhead,Summer,Yearling,Conservation,,2009,0.56,,0.67,>0.67,0.75,,0.3,<0.30,,,,,,26,,100,,,None,,,,,,,,,,,,,,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Wells Hatchery,Methow Summer Steelhead,INTEGRATED,Steelhead,Summer,Yearling,Conservation,,2009,0.35,,0.67,>0.67,0.79,,0.3,<0.30,,,,,,139,,41.5,,9,,,,,,,,,,,,,,,,,"In progressJLARC data to be released 2015,",Chelan,CHELAN,,Chelan County Lead Entity,7/22/2015 16:38
Ringold Springs Hatchery,Ringold Springs -Wells Stock,SEGREGATED,Steelhead,Summer,Yearlings,Harvest,,2009,0,N/A,0,N/A,0.05,,0.05,<0.05,,,,,,206,,,None,,None,,,,,,,,,,,,,,,,"In progressJLARC data to be released 2015,",Franklin,ESQUATZEL COULEE,,,7/22/2015 16:38
